day_diet diff,12_Ketolithocholic acid,drib,5oxpro,ala_L,all_D,arab_L,asn_L,asp_L,cellb,cholate,cit,cys_L,dca,dchac,ddca,galt,fru,fuc_L,fum,gal,glc_D,glu_L,gly,hxa,his_L,indole,ile_L,leu_L,lnlcACP,HC02191,lys_L,mal_L,melib,met_L,ttdca,acgam,nac,octa,orn_L,hdca,phe_L,C10164,pro_L,pyr,raffin,rmn,rib_D,ser_D,succ,sucr,thr_L,tyr_L,HC02194,pta,val_L,akg,cis_Oleic acid,meso_Erythritol,inost,4hpro_LT,ac,but,ppa
RC-ABX_-1.5,-0.08371428571428571,-0.1685714285714285,0.04314285714285715,-11.527428571428572,0.06000000000000001,-3.6754285714285713,0.1283333333333334,-0.5607142857142859,,-2.3674285714285714,-0.006857142857142798,1.451571428571428,-0.037428571428571394,-10.090285714285711,-0.060285714285714206,,0.13657142857142857,-0.021142857142857185,-0.30100000000000005,-6.26,-31.675000000000004,-0.24614285714285716,-0.2571428571428571,-0.075,,,-2.0265714285714287,-2.889857142857144,-1.842285714285714,,-0.39766666666666667,-0.326,-0.5369999999999999,-0.881142857142857,-0.4224285714285715,-0.9208571428571428,-2.450571428571428,-0.134,-0.08142857142857139,-0.263,-0.5192857142857141,-0.051857142857142796,-3.033714285714286,-0.6274285714285714,-8.046999999999997,-0.015428571428571403,-9.014,-0.3801428571428571,-1.403,0.33414285714285713,0.9847142857142858,-2.7445714285714287,,-1.9265714285714284,-0.8895714285714289,,-1.5531428571428572,0.033142857142857196,0.5068571428571429,-0.3872857142857142,,,
WD-ABX_4.0,-0.18960000000000002,-0.07379999999999991,-0.06373333333333348,-4.9188,0.3475333333333333,-2.1292666666666666,-0.1153333333333334,-0.9559333333333335,4.100333333333333,-2.0456000000000003,0.019933333333333303,2.4652000000000003,0.049466666666666714,-26.137933333333333,-0.010333333333333403,,2.419066666666666,-0.028066666666666712,-0.1944,-4.987266666666667,-20.8904,-0.25173333333333325,-0.11266666666666672,0.03526666666666661,,,-0.8526666666666665,-2.3958666666666675,-2.3527333333333336,,,,,-0.9886,-0.6100000000000001,-0.5623333333333335,-1.3622,0.023866666666666703,,-0.3080666666666668,-0.5686666666666667,0.058333333333333404,-1.897,-0.6830666666666666,,-0.0546666666666666,-5.252866666666666,-0.12840000000000007,-1.6998,-11.661266666666666,0.04353333333333331,-1.1597333333333335,,-1.4445333333333334,-0.43833333333333324,,-0.8621999999999996,-0.04325,2.8127333333333335,-0.1309999999999999,,,
RC-ABX_5.5,0.29224999999999995,0.14075000000000001,-0.38499999999999995,7.50925,-0.08450000000000002,6.894000000000001,-0.11599999999999999,0.8804999999999998,,0.31975,-0.027750000000000004,-0.9067499999999997,0.08750000000000001,60.72175,0.084,,-0.9465,0.04575000000000001,0.345,4.95825,35.93475000000001,-0.03975000000000001,0.269,0.1265,,,2.123,3.6567500000000006,4.4625,,-0.010333333333333417,0.28025,,0.45250000000000007,0.5825,0.54375,2.6367499999999997,0.28925,-0.03325,0.574,-0.0034999999999999476,0.1685,2.5100000000000002,0.26,,-0.037000000000000116,9.1595,-0.3992499999999999,0.537,-0.33999999999999997,-1.28225,3.4775,,1.66175,0.6182500000000002,,2.699,0.0072500000000000064,-1.0989999999999998,0.1755,,,
RC-ABX_4.0,,0.0,0.139,0.6489999999999999,-0.05799999999999998,-1.129,0.091,0.6840000000000002,,-0.031000000000000007,-0.094,0.18599999999999994,0.0010000000000000009,-0.055999999999999994,-0.009000000000000001,,-0.7859999999999998,0.015,-0.10399999999999998,0.74,-3.468,0.21299999999999997,0.0040000000000000036,-0.001999999999999988,,,0.347,1.548,-0.3410000000000002,,0.511,-0.005000000000000001,,0.11099999999999999,-0.035999999999999976,,0.129,-0.010000000000000009,0.354,-0.03299999999999992,0.15499999999999992,-0.001999999999999988,0.5430000000000001,0.238,,-0.04400000000000001,-1.091,-1.323,0.002999999999999999,-0.138,0.829,-0.915,,-0.0020000000000000018,0.352,,-0.4099999999999999,0.11099999999999999,-3.521,0.08,,,
RC-ABX_6.0,,0.05500000000000001,0.2490000000000001,2.16725,0.027499999999999997,3.810249999999999,0.1405,1.067,,1.1207500000000001,0.018249999999999995,-0.10699999999999976,0.020249999999999997,,0.017,0.5996666666666668,-0.8345,0.03875000000000001,0.34024999999999994,2.1425,5.70175,0.08025000000000004,0.14200000000000002,0.028999999999999998,,,0.9859999999999998,1.40775,1.0565,,-0.368,0.039499999999999896,,0.19850000000000007,0.12024999999999997,,0.495,0.07274999999999998,-0.28425,0.11824999999999997,0.07399999999999995,0.07725,3.9930000000000003,0.29124999999999995,,0.24475,1.3615,0.33899999999999997,1.0205000000000002,-0.19950000000000007,-1.04525,0.67425,,0.0395,0.41025,0.0117499999999999,0.65875,0.66425,2.5995,0.659,,,
RC-ABX_12.5,-0.2682500000000001,0.021375000000000005,0.36100000000000004,-0.7197499999999994,0.2775,-6.494875,0.1174,0.9858750000000001,0.1475833333333333,-0.5133749999999999,0.033374999999999995,-0.3316250000000003,-0.070125,-43.890125000000005,-0.04700000000000001,,0.9291250000000001,-0.156125,-0.27012499999999995,-1.409875,-24.358500000000006,0.31174999999999997,-0.14687500000000003,-0.09162500000000001,,-0.58815,0.5763749999999996,-0.9011250000000004,-3.3035,-0.44258333333333333,0.8415333333333335,-0.1073928571428572,,0.4959999999999999,-0.400875,-0.47224999999999995,-1.2627499999999998,-0.249125,0.10267857142857141,-0.4591249999999999,0.37062499999999987,-0.15675000000000003,1.1089999999999995,-0.13862500000000003,,-0.08624999999999991,-3.7712499999999993,0.8697499999999998,-0.04475000000000007,0.9961249999999999,0.736125,-1.9749999999999996,0.003499999999999996,-0.504,0.04712499999999986,0.0709333333333334,-1.8804999999999996,-0.0523928571428572,0.2044999999999999,-0.08374999999999999,,,
WD-ABX_12.5,-0.015,0.023750000000000007,0.4952083333333334,0.8265,-0.14370833333333327,0.3414166666666666,0.1653333333333334,1.5422083333333334,-1.7829047619047618,-0.013874999999999998,0.020416666666666694,0.0363749999999996,-0.1237916666666666,-0.2986666666666667,-0.0596666666666666,,-1.6822916666666665,0.8911666666666667,0.010000000000000009,1.8109523809523809,-3.1468750000000005,0.3414583333333334,0.2176666666666667,-0.10991666666666661,,,1.3090416666666669,2.9137916666666674,0.0548333333333334,,,,2.2893333333333334,0.2855,-0.63925,0.14861904761904765,0.08712500000000009,-0.1326666666666667,,-0.18295833333333322,0.4786666666666667,-0.09345833333333331,8.042375,0.6227916666666666,,0.043291666666666714,-0.6549583333333331,-0.3411249999999999,0.19475,-0.4140476190476188,1.4022916666666667,-0.01729166666666626,,-0.024166666666666593,0.48158333333333325,,-1.4545000000000001,0.045,-0.9012083333333334,0.0742499999999999,,,
RC-ABX_21.0,0.1287500000000001,0.07037499999999997,0.43000000000000005,4.261666666666665,-0.23375,-0.7342916666666666,0.19259999999999997,0.8442916666666664,-0.34533333333333344,0.016958333333333298,0.028208333333333308,0.15804166666666708,0.34862499999999996,24.152775000000005,0.279,,0.010208333333333375,0.08754166666666668,0.07012499999999999,0.1576249999999999,3.682583333333337,0.2673333333333334,0.15720833333333334,0.07029166666666659,,0.015899999999999997,2.3906250000000018,4.2127083333333335,-0.2965,1.3875833333333332,0.10880000000000023,-0.0662571428571428,1.6799999999999997,0.46933333333333316,1.5448749999999998,0.45989999999999986,0.21950000000000003,0.11670833333333328,0.12777142857142856,0.377625,0.6383750000000001,0.0705833333333333,0.3711666666666673,0.549125,16.552999999999997,-0.0037500000000000033,1.4129166666666668,0.10200000000000031,0.18308333333333338,-0.5574583333333333,0.8049583333333332,2.122166666666666,0.0746666666666666,0.04125000000000001,0.8812916666666664,0.39939999999999987,2.4833333333333334,0.0694761904761905,0.6808333333333332,0.014083333333333281,-1.6433333333333309,-0.14666666666666295,-1.0900000000000007
WD-ABX_21.0,0.10749999999999989,0.013916666666666591,0.34145833333333353,2.3748333333333336,-0.12945833333333343,-0.42074999999999985,0.7885000000000001,2.1954583333333337,-2.1028285714285717,2.0668750000000005,0.013416666666666605,-1.2702083333333336,0.015291666666666592,7.6362,0.08574999999999999,0.019333333333333313,-1.3025416666666663,-0.8965000000000001,0.0896666666666667,-0.6994523809523809,-0.738458333333333,0.32704166666666656,0.0756666666666666,0.002083333333333298,,,2.775124999999999,3.519041666666668,0.2603333333333334,,0.47875,0.005050000000000001,,0.6815000000000002,1.0779166666666669,0.12971428571428578,0.2765416666666667,0.01866666666666658,0.0816,0.38079166666666675,0.7231666666666668,0.019625000000000004,-2.8205416666666663,-0.35512499999999997,,-0.02379166666666671,0.11512500000000014,0.7194583333333326,0.13391666666666657,-0.7321190476190477,-0.07462500000000016,0.5354583333333331,,0.14049999999999999,1.2205833333333331,0.05365,1.521333333333333,0.012666666666666604,-0.8984583333333334,0.13491666666666668,3.116666666666668,1.3966666666666665,1.2899999999999998
RC-ABX_15.5,,-0.2445,-0.41600000000000015,-11.962166666666665,0.045749999999999985,-2.930833333333334,-0.205,-2.621666666666666,,-0.2713333333333333,0.04716666666666669,0.894333333333333,-0.372,-41.403400000000005,-0.306,,0.5221666666666664,-0.16716666666666669,-0.12,-3.77,-22.398833333333336,-0.5093333333333334,-0.3303333333333333,-0.10916666666666659,,,-6.167000000000002,-9.630333333333333,-1.1945,,-0.8830000000000002,-0.1026,-1.138,-1.5378333333333332,-1.7724999999999997,-0.9603999999999998,-1.5745,-0.16783333333333328,-0.18819999999999998,-0.5085000000000001,-1.3005,-0.1303333333333333,-4.714166666666667,-0.6775,-24.556999999999988,0.05300000000000002,-7.574166666666667,-0.6945000000000001,-0.6783333333333333,0.010333333333333417,-0.28383333333333316,-4.400666666666666,,-1.203,-1.8626666666666662,,-3.3198333333333334,-0.0683333333333333,1.7286666666666668,-0.1358333333333333,,,
WD-ABX_17.5,,-0.0516666666666666,-0.7113333333333336,-3.4113333333333338,0.5318333333333335,0.5139999999999999,-0.9338333333333335,-3.6443333333333334,4.511733333333334,-2.0540000000000003,-0.006833333333333302,0.5205000000000002,0.1605,-7.6491999999999996,-0.0010833333333333806,,5.020499999999999,0.0843333333333334,-0.0896666666666667,-0.7228333333333333,6.227,-0.5924999999999999,-0.3213333333333333,0.1141666666666667,,,-4.108166666666666,-5.825166666666669,-0.25883333333333347,,,,,-0.8546666666666669,-0.2956666666666665,-0.14400000000000002,-0.38933333333333336,0.0936666666666667,,-0.23916666666666686,-1.1498333333333335,0.016499999999999904,-5.342166666666667,-0.277,,0.02283333333333329,0.9348333333333334,-0.07799999999999918,-0.32966666666666655,1.0338333333333334,-1.2229999999999999,-0.12349999999999994,,-0.1253333333333334,-1.7024999999999997,,0.26983333333333315,-0.05700000000000001,2.197,-0.2025,,,
